PUBLISHDATE,VERSION,ZONE,PNODEID,PNODENAME,PNODETYPE,PRICINGTYPE,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24
04-01-2015,0,APS,5021072,BELPRE  138 KV  T1,BUS,CongLMP,0.23,0.51,2.28,2.09,2.14,3.3,37.03,66.89,30.01,7.58,2.07,2.25,-1.32,-0.63,-0.03,0.58,0.95,2.6,6.35,26.26,33.67,2.68,0.04,0.07
04-01-2015,0,APS,5021072,BELPRE  138 KV  T1,BUS,LossLMP,-0.39,-0.37,-0.34,-0.36,-0.41,-0.61,-1.51,-1.81,-1.11,-0.99,-0.85,-0.85,-0.88,-0.86,-0.78,-0.63,-0.55,-0.61,-0.58,-0.82,-1.07,-0.82,-0.69,-0.52
04-01-2015,0,APS,5021072,BELPRE  138 KV  T1,BUS,TotalLMP,22.63,23.53,23.71,25.1,26.8,28.92,83.81,121.38,61.73,35.44,26.97,28.74,27.38,25.8,24.39,23.09,23.1,25.83,26.96,52.5,66.32,27.46,22.88,20.86
04-02-2015,0,APS,5021072,BELPRE  138 KV  T1,BUS,CongLMP,1.05,4.78,2.31,1.34,2.32,2.67,27.5,1.36,0.5,0.59,1.08,1.36,2.5,4.34,1.3,1.33,1.01,0.74,1.36,7.17,8.8,1.76,1.31,1.12
04-02-2015,0,APS,5021072,BELPRE  138 KV  T1,BUS,LossLMP,-0.33,-0.23,-0.26,-0.27,-0.34,-0.51,-1.77,-1.42,-0.96,-0.93,-0.89,-0.75,-0.65,-0.55,-0.57,-0.6,-0.6,-0.6,-0.53,-0.63,-0.73,-0.65,-0.46,-0.26
04-02-2015,0,APS,5021072,BELPRE  138 KV  T1,BUS,TotalLMP,18.16,22.25,21.62,23.23,25.06,25.48,85.9,39.56,26.93,28.01,28.21,27.9,26.86,27.14,26.94,27.04,26.1,26.51,26.24,34.68,38.22,28.45,23.25,21.55
04-03-2015,0,APS,5021072,BELPRE  138 KV  T1,BUS,CongLMP,1.28,2.3,1.85,1.87,1.28,1.72,3.65,2.21,1.53,1.21,4.55,29.59,3.96,2.31,1.15,2.3,3.47,2.12,2.55,0.28,0.0,0.0,0.0,0.0
04-03-2015,0,APS,5021072,BELPRE  138 KV  T1,BUS,LossLMP,-0.14,-0.05,0.0,0.03,0.01,-0.03,-0.14,-0.27,-0.47,-0.56,-0.69,-0.86,-0.68,-0.59,-0.6,-0.52,-0.51,-0.57,-0.48,-0.51,-0.57,-0.47,-0.33,-0.2
04-03-2015,0,APS,5021072,BELPRE  138 KV  T1,BUS,TotalLMP,17.72,17.53,18.3,17.84,19.08,21.87,24.07,26.63,27.54,27.23,33.15,65.18,33.13,28.26,28.46,26.92,28.14,28.39,25.77,25.41,25.62,24.53,22.67,18.19
