32411157,EBROAD  138 KV  T1,Ohio Power Company 
32411159,EBROAD  138 KV  T2,Ohio Power Company 
32411177,ELEIPSIC138 KV  T3,Ohio Power Company 
32411181,ELIVE2ND69 KV   T1,Ohio Power Company 
32411183,ELIVE2ND69 KV   T2,Ohio Power Company 
32411185,ELIVEREE69 KV   T1,Ohio Power Company 
32411211,ENEWCONC138 KV  T1,Ohio Power Company 
32411215,EPOINT  138 KV  T1,Ohio Power Company 
32411219,EPROCTOR138 KV  T1,Ohio Power Company 
32411227,ESIDELI&M138 KV  T1,Ohio Power Company 
32411233,EWOOSTER138 KV  T1,Ohio Power Company 
32411241,FAIRCRES138 KV  T1,Ohio Power Company 
32411247,FAYETTE 138 KV  T1,Ohio Power Company 
32411265,FIFTHAVE138 KV  T1,Ohio Power Company 
32411267,FINDLAYC138 KV  T1,Ohio Power Company 
32411269,FISHER  138 KV  T1,Ohio Power Company 
32411271,FISHER  138 KV  T2,Ohio Power Company 
32411293,FORD    138 KV  T1,Ohio Power Company 
32411295,FORD    138 KV  T2,Ohio Power Company 
32411317,FRAZEYB 138 KV  T1,Ohio Power Company 
32411319,FREMNT  138 KV  T1,Ohio Power Company 
32411333,FULTON  138 KV  T1,Ohio Power Company 
32411335,GAHANNA 138 KV  T1,Ohio Power Company 
32411337,GAHANNA 138 KV  T2,Ohio Power Company 
32411339,GAHANNA 138 KV  T3,Ohio Power Company 
32411341,GAHANNA 138 KV  T4,Ohio Power Company 
32411355,GAVINAEP138 KV  DWAS,Ohio Power Company 
32411357,GAVINAEP138 KV  IAAS,Ohio Power Company 
32411367,GAY     138 KV  T1,Ohio Power Company 
32411369,GAY     138 KV  T2,Ohio Power Company 
32411371,GAY     138 KV  T3,Ohio Power Company 
32411373,GENOA   138 KV  T1,Ohio Power Company 
32411375,GENOA   138 KV  T2,Ohio Power Company 
32411377,GENOA   138 KV  T4,Ohio Power Company 
32411385,GESUPER 138 KV  T1,Ohio Power Company 
32411387,GINATCRE69 KV   PLYHGTS,Ohio Power Company 
32411393,GLENMOOR69 KV   T1,Ohio Power Company 
32411395,GMBETHEL138 KV  T1,Ohio Power Company 
32411397,GMCHANDL138 KV  T1,Ohio Power Company 
32411439,GRIFFIN 138 KV  T1T2T3,Ohio Power Company 
32411441,GROVES  138 KV  T3,Ohio Power Company 
32411443,GROVES  138 KV  T4,Ohio Power Company 
32411445,GROVES  138 KV  T7,Ohio Power Company 
32411447,GROVES  138 KV  T8,Ohio Power Company 
32411461,HALL    138 KV  T1,Ohio Power Company 
32411463,HALL    138 KV  T2,Ohio Power Company 
32411465,HAMMONDS69 KV   T1,Ohio Power Company 
32411467,HAMMONDS69 KV   T2,Ohio Power Company 
32411479,HANGROCK69 KV   NIRONTON,Ohio Power Company 
32411481,HANGROCK34 KV   LOAD,Ohio Power Company 
32411483,HAPCREME138 KV  T1,Ohio Power Company 
32411485,HAPCREME138 KV  T2,Ohio Power Company 
32411489,HARGUS  138 KV  T1,Ohio Power Company 
32411493,HARRISCS69 KV   PICWAY,Ohio Power Company 
32411503,HAVERHSW69 KV   T1,Ohio Power Company 
32411505,HAVILAND138 KV  T2,Ohio Power Company 
32411507,HAVILAND138 KV  T3,Ohio Power Company 
32411509,HAVILAND138 KV  T4,Ohio Power Company 
32411521,HEATH   138 KV  T4,Ohio Power Company 
32411523,HEATH   138 KV  T5,Ohio Power Company 
